id,replaces,unit,difficulty,cognitive,question,choices,answer1based,answerFeedback,allChoiceFeedback,takeaway,material,context,scope,sources
920011,910011,1,3,3,Which island name belongs at A in the position key?,"[""Dongdo"", ""Seodo""]",2,"A occupies the western position, so it is Seodo.","[""Dongdo is already shown at the eastern position. A is Seodo."", ""A occupies the western position, so it is Seodo.""]",Dongdo is the eastern main island and Seodo is the western one.,"West ← [ A ] ··· [ Dongdo ] → East
This key shows only the simplified east–west relationship.",,This simplifies their directional relationship; it is not a coastline map.,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920012,910012,1,4,3,"On a position key with east pointing left, on which side is Dongdo placed?","[""Left"", ""Right""]",1,"East points left in this key, so the eastern island, Dongdo, is on the left.","[""East points left in this key, so the eastern island, Dongdo, is on the left."", ""Right is west in this key. East is not always on the screen’s right.""]",Dongdo is the eastern main island and Seodo is the western one.,"East ← [ A ] ··· [ B ] → West
Dongdo is the eastern island and Seodo is the western island. Follow the arrows in this key.",,This simplifies their directional relationship; it is not a coastline map.,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920013,910013,1,1,1,What weather offers a good chance of seeing Dokdo from Ulleungdo?,"[""Clear weather with good visibility"", ""Dense fog"", ""Rain that obscures the view""]",1,Clear air allows a distant island such as Dokdo to be visible.,"[""Clear air allows a distant island such as Dokdo to be visible."", ""Dense fog obscures distant objects."", ""Rain that obscures the view makes a distant island harder to distinguish.""]",Dokdo can be seen from Ulleungdo in clear weather with good visibility.,,,,https://dokdo.mofa.go.kr/kor/pds/part06_view02.jsp | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920014,910014,1,2,2,Which atmospheric condition helps observers see distant Dokdo from Ulleungdo?,"[""Dense fog over the sea"", ""Little fog and clear visibility"", ""Heavy rain reducing visibility""]",2,Distant viewing requires conditions with little obscuring fog.,"[""Dense fog obscures the view of distant Dokdo."", ""Distant viewing requires conditions with little obscuring fog."", ""Rain that obscures visibility differs from the clear conditions needed.""]",Dokdo can be seen from Ulleungdo in clear weather with good visibility.,,,,https://dokdo.mofa.go.kr/kor/pds/part06_view02.jsp | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920015,910015,1,3,3,What weather does the Sejong geographical record associate with seeing the two islands?,"[""When there is dense fog"", ""Every day regardless of conditions"", ""When the weather is clear""]",3,The translation says the islands can be seen when the weather is clear.,"[""The supplied account says clear weather, not fog."", ""The account gives a clear-weather condition; it does not say every day."", ""The translation says the islands can be seen when the weather is clear.""]",Dokdo can be seen from Ulleungdo in clear weather with good visibility.,Summary of the translated 1454 Sejong geographical record: Usan and Mureung are not far apart and can be seen in clear weather. The cited commentary identifies them as Dokdo and Ulleungdo.,,,https://dokdo.mofa.go.kr/kor/pds/part06_view02.jsp | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920016,910016,1,4,3,Which of the two days is more suitable for viewing Dokdo from Ulleungdo?,"[""Day B"", ""Day A""]",2,Day A has clearer visibility for viewing the distant islands.,"[""Dense fog on day B obscures the view toward Dokdo."", ""Day A has clearer visibility for viewing the distant islands.""]",Dokdo can be seen from Ulleungdo in clear weather with good visibility.,Illustrative plan: day A has clear visibility without fog; on day B dense fog obscures the distant sea. Both observations would use the same point on Ulleungdo.,,,https://dokdo.mofa.go.kr/kor/pds/part06_view02.jsp | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920017,910017,1,1,1,Which two main islands are counted separately from Dokdo’s 89 associated islets?,"[""Dongdo and Seodo"", ""Ulleungdo and Dokdo"", ""Dongdo and Ulleungdo""]",1,The 89 associated islets are in addition to Dongdo and Seodo.,"[""The 89 associated islets are in addition to Dongdo and Seodo."", ""Dokdo names the whole group and Ulleungdo is separate; the main islands are Dongdo and Seodo."", ""Seodo, not Ulleungdo, is the other main island.""]",Dokdo’s 89 associated islets are counted separately from Dongdo and Seodo.,,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920018,910018,1,2,2,"How many islands are there when Dongdo, Seodo and 89 associated islets are counted together?","[""91"", ""89"", ""90"", ""93""]",1,Two main islands plus 89 associated islets equals 91.,"[""Two main islands plus 89 associated islets equals 91."", ""89 counts only the associated islets."", ""90 adds only one main island; both Dongdo and Seodo must be included."", ""Do not count the main islands twice: calculate 89 + 2.""]",Dokdo’s 89 associated islets are counted separately from Dongdo and Seodo.,,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920019,910019,1,3,3,What is the combined area of the associated islets in the table?,"[""73,297 m²"", ""25,517 m²"", ""88,740 m²"", ""187,554 m²""]",2,"The associated-islets row is 25,517 m², not the total or a main island’s area.","[""73,297 m² is Dongdo’s area."", ""The associated-islets row is 25,517 m², not the total or a main island’s area."", ""88,740 m² is Seodo’s area."", ""187,554 m² is the total including both main islands.""]",Dokdo’s 89 associated islets are counted separately from Dongdo and Seodo.,"Dongdo: 73,297 m²
Seodo: 88,740 m²
89 associated islets: 25,517 m²
Total: 187,554 m²",,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920020,910020,1,4,3,What is left out when Dokdo’s total area is calculated using only Dongdo and Seodo?,"[""25,517 m² of sea between the islands"", ""25,517 m² of associated islets"", ""25,517 m² of Ulleungdo""]",2,"187,554 − 73,297 − 88,740 = 25,517 m², the land area of the associated islets.","[""The table lists land area; the difference is islet land, not sea."", ""187,554 − 73,297 − 88,740 = 25,517 m², the land area of the associated islets."", ""Ulleungdo is not included in Dokdo’s total area.""]",Dokdo’s 89 associated islets are counted separately from Dongdo and Seodo.,"Dokdo total land area: 187,554 m²; Dongdo: 73,297 m²; Seodo: 88,740 m². Associated islets also contribute land area.",,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920021,910021,2,1,1,Which of Dokdo’s two main islands is higher?,"[""Seodo"", ""Dongdo""]",1,"Seodo reaches 168.5 m, higher than Dongdo’s 98.6 m.","[""Seodo reaches 168.5 m, higher than Dongdo’s 98.6 m."", ""Dongdo reaches 98.6 m; Seodo is higher at 168.5 m.""]","Seodo is the higher main island: 168.5 m, compared with Dongdo’s 98.6 m.",,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920022,910022,2,2,2,Which main island of Dokdo reaches a maximum height of 98.6 m?,"[""Seodo"", ""Dongdo""]",2,98.6 m is Dongdo’s maximum elevation.,"[""Seodo’s maximum elevation is 168.5 m."", ""98.6 m is Dongdo’s maximum elevation.""]","Seodo is the higher main island: 168.5 m, compared with Dongdo’s 98.6 m.",,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920023,910023,2,3,3,"According to the height table, how many metres higher is Seodo than Dongdo?","[""267.1 m"", ""98.6 m"", ""69.9 m"", ""151 m""]",3,Subtracting the two elevations gives 168.5 − 98.6 = 69.9 m.,"[""267.1 m is the sum; a difference requires subtraction."", ""98.6 m is Dongdo’s elevation, not the difference."", ""Subtracting the two elevations gives 168.5 − 98.6 = 69.9 m."", ""151 m describes the shore-to-shore gap, not the elevation difference.""]","Seodo is the higher main island: 168.5 m, compared with Dongdo’s 98.6 m.","Seodo maximum elevation: 168.5 m
Dongdo maximum elevation: 98.6 m
Both elevations are measured relative to sea level.",,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920024,910024,2,4,3,"Which island has land above 100 m, based on the elevations in the table?","[""Dongdo only"", ""Both islands"", ""Neither island"", ""Seodo only""]",4,Seodo reaches 168.5 m; Dongdo peaks at 98.6 m and therefore has no point at 100 m.,"[""Dongdo’s peak is below 100 m; Seodo exceeds it."", ""Dongdo’s 98.6 m is below 100 m."", ""Seodo’s 168.5 m is above 100 m."", ""Seodo reaches 168.5 m; Dongdo peaks at 98.6 m and therefore has no point at 100 m.""]","Seodo is the higher main island: 168.5 m, compared with Dongdo’s 98.6 m.",Seodo: 168.5 m; Dongdo: 98.6 m. Consider which island could have a 100 m contour.,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920025,910025,2,1,1,Which of Dokdo’s main islands has the larger land area?,"[""Seodo"", ""Dongdo""]",1,"Seodo’s 88,740 m² exceeds Dongdo’s 73,297 m².","[""Seodo’s 88,740 m² exceeds Dongdo’s 73,297 m²."", ""Dongdo has a longer coastline but a smaller area.""]","Seodo has the larger area, but Dongdo has the longer coastline.",,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920026,910026,2,2,2,What does m² measure in Dokdo’s area table?,"[""Peak elevation"", ""Length along the coastline"", ""Land area""]",3,"Square metres measure area, unlike metres used for elevation.","[""Elevation is in metres; square metres describe area."", ""Coastline length is in metres or kilometres, not square metres."", ""Square metres measure area, unlike metres used for elevation.""]","Seodo has the larger area, but Dongdo has the longer coastline.","Seodo: 88,740 m² / Dongdo: 73,297 m²",,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920027,910027,2,3,3,Which main island has the longer coastline in the table?,"[""Seodo"", ""Dongdo""]",2,Dongdo’s 2.8 km coastline is longer than Seodo’s 2.6 km.,"[""Seodo has the larger area, but its listed coastline is shorter."", ""Dongdo’s 2.8 km coastline is longer than Seodo’s 2.6 km.""]","Seodo has the larger area, but Dongdo has the longer coastline.","Dongdo: area 73,297 m²; coastline 2.8 km
Seodo: area 88,740 m²; coastline 2.6 km",,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920028,910028,2,4,3,Which comparison of both area and coastline agrees with the table?,"[""Seodo has more area; Dongdo has a longer coastline"", ""Seodo has more area and therefore a longer coastline"", ""Dongdo has both more area and a longer coastline""]",1,Area and coastline length are distinct quantities; different islands lead in each.,"[""Area and coastline length are distinct quantities; different islands lead in each."", ""Larger area does not necessarily mean a longer coastline; the table shows Dongdo’s is longer."", ""Dongdo’s coastline is longer, but Seodo’s area is larger.""]","Seodo has the larger area, but Dongdo has the longer coastline.","Dongdo: 73,297 m² / coastline 2.8 km
Seodo: 88,740 m² / coastline 2.6 km
Area measures land extent; coastline length follows the shore.",,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp | https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=64
920029,910029,2,1,1,What separates Dongdo and Seodo?,"[""A land road"", ""Sea"", ""A river""]",2,Their exposed land areas are separated by seawater.,"[""The exposed islands are not joined by a land road."", ""Their exposed land areas are separated by seawater."", ""The water between them is sea, not a river.""]",The nearest shores of Dongdo and Seodo are about 151 m apart.,,,"This is a shore-to-shore gap, not the peak-to-peak distance or a walking route.",https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66 | https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0
920030,910030,2,2,2,Approximately how far apart are the nearest shores of Dongdo and Seodo?,"[""151 m"", ""87.4 km"", ""98.6 m"", ""168.5 m""]",1,About 151 m is the gap between the nearest shores of the main islands.,"[""About 151 m is the gap between the nearest shores of the main islands."", ""87.4 km is the Ulleungdo–Dokdo distance."", ""98.6 m is Dongdo’s peak elevation, not the gap."", ""168.5 m is Seodo’s peak elevation.""]",The nearest shores of Dongdo and Seodo are about 151 m apart.,,,"This is a shore-to-shore gap, not the peak-to-peak distance or a walking route.",https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66 | https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0
920031,910031,2,3,3,Where should the ends of a line marking the 151 m gap be placed?,"[""At the two peaks"", ""At the lighthouse and residence"", ""At the nearest points on the two shores""]",3,"The measurement is shore-to-shore, so the line connects those nearest points.","[""Peaks are not the nearest shore points, so their distance is not labelled 151 m."", ""A facility-to-facility distance is a different measurement."", ""The measurement is shore-to-shore, so the line connects those nearest points.""]",The nearest shores of Dongdo and Seodo are about 151 m apart.,Distance definition: the nearest facing shores of Dongdo and Seodo are approximately 151 m apart.,,"This is a shore-to-shore gap, not the peak-to-peak distance or a walking route.",https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66 | https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0
920032,910032,2,4,3,"On a map where 1 cm represents 50 m, how long is a 151 m gap?","[""7,550 cm"", ""3.02 cm"", ""151 cm"", ""0.302 cm""]",2,151 ÷ 50 = 3.02 cm.,"[""That multiplies by 50; map length requires division by 50."", ""151 ÷ 50 = 3.02 cm."", ""This map uses 50 m per centimetre, not 1 m per centimetre."", ""This is one tenth of the required 3.02 cm.""]",The nearest shores of Dongdo and Seodo are about 151 m apart.,"Actual shore gap: about 151 m
Practice map scale: 1 cm represents 50 m
The scale is chosen for this exercise.",,"This is a shore-to-shore gap, not the peak-to-peak distance or a walking route.",https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66 | https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0
920033,910033,2,1,1,Which main island of Dokdo is especially marked by a steep peak?,"[""Seodo"", ""Dongdo""]",1,"Seodo is characterised by its higher, steeply rising peak.","[""Seodo is characterised by its higher, steeply rising peak."", ""Dongdo has cliffs too, but its upper area is comparatively level.""]",Seodo rises steeply; Dongdo has a comparatively level upper area.,,,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0 | https://www.jbe.go.kr/dokdo/assets/sub/picture.html
920034,910034,2,2,2,Which island has the comparatively level upper area used by facilities such as the helipad?,"[""Seodo"", ""Dongdo""]",2,Dongdo’s relatively level upper area accommodates the helipad and other facilities.,"[""Seodo’s steep peak is difficult to access; these facilities are on Dongdo."", ""Dongdo’s relatively level upper area accommodates the helipad and other facilities.""]",Seodo rises steeply; Dongdo has a comparatively level upper area.,,,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0 | https://www.jbe.go.kr/dokdo/assets/sub/picture.html
920035,910035,2,3,3,Does terrain description A refer to Dongdo or Seodo?,"[""Dongdo"", ""Seodo""]",1,A describes the relatively level upper area with facilities on Dongdo.,"[""A describes the relatively level upper area with facilities on Dongdo."", ""Seodo matches B’s steep-peak description.""]",Seodo rises steeply; Dongdo has a comparatively level upper area.,"A: coastal cliffs, with a comparatively level upper area containing a helipad and facilities.
B: a prominent high, steep peak.",,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0 | https://www.jbe.go.kr/dokdo/assets/sub/picture.html
920036,910036,2,4,4,What should be changed in a model that makes Dongdo as pointed as Seodo?,"[""Restore Dongdo’s comparatively level upper area"", ""Make Dongdo higher than Seodo"", ""Remove all of Dongdo’s coastal cliffs""]",1,Represent Dongdo’s comparatively level upper area as well as its coastal cliffs.,"[""Represent Dongdo’s comparatively level upper area as well as its coastal cliffs."", ""Seodo is the higher island; reversing the heights adds an error."", ""A level upper area does not mean the entire island lacks cliffs.""]",Seodo rises steeply; Dongdo has a comparatively level upper area.,"Terrain data: Seodo 168.5 m with a steep peak; Dongdo 98.6 m with coastal cliffs and a comparatively level upper area.
Model to revise: two identical pointed mountains differing only in height.",,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16%2C03360000%2C37&pageNo=1_1_2_0 | https://www.jbe.go.kr/dokdo/assets/sub/picture.html
920037,910037,2,1,1,Does Dokdo’s terrain continue underwater below Dongdo and Seodo?,"[""It ends at sea level"", ""It continues underwater""]",2,Dongdo and Seodo are exposed parts of an underwater volcanic structure.,"[""The visible land is not the whole structure; it continues below the surface."", ""Dongdo and Seodo are exposed parts of an underwater volcanic structure.""]",Dongdo and Seodo are exposed parts of a much larger underwater volcanic structure.,,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
920038,910038,2,2,2,The two main islands of Dokdo are exposed parts of what?,"[""A river delta"", ""An underwater volcanic structure"", ""A coral-built island""]",2,The exposed islands belong to a volcanic structure formed underwater.,"[""Dokdo is volcanic, not a delta built by river sediment."", ""The exposed islands belong to a volcanic structure formed underwater."", ""Volcanic activity, rather than coral growth, formed Dokdo.""]",Dongdo and Seodo are exposed parts of a much larger underwater volcanic structure.,,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
920039,910039,2,3,3,"From where is the approximately 2,300 m height of Dokdo’s volcanic structure measured?","[""From sea level to Seodo’s peak"", ""From sea level to Dongdo’s peak"", ""From the submarine base""]",3,"About 2,300 m describes the entire structure from its submarine base.","[""Seodo’s peak is 168.5 m above sea level; the reference point differs."", ""Dongdo’s elevation above sea level is 98.6 m."", ""About 2,300 m describes the entire structure from its submarine base.""]",Dongdo and Seodo are exposed parts of a much larger underwater volcanic structure.,"Seodo’s elevation above sea level: 168.5 m.
The full Dokdo volcanic structure: about 2,300 m from its submarine base.
Note the different reference levels.",,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
920040,910040,2,4,3,"Why can 168.5 m and about 2,300 m both appear in descriptions of Dokdo’s height?","[""The reference points for height differ"", ""168.5 m is Dongdo and 2,300 m is Seodo"", ""Only the units differ for measurements from one reference""]",1,"168.5 m is relative to sea level; about 2,300 m is relative to the submarine base.","[""168.5 m is relative to sea level; about 2,300 m is relative to the submarine base."", ""Seodo reaches 168.5 m above sea level; Dongdo reaches 98.6 m."", ""Both use metres; their reference points differ.""]",Dongdo and Seodo are exposed parts of a much larger underwater volcanic structure.,"Sea level → Seodo’s peak: 168.5 m
Submarine volcanic base → top of the structure: about 2,300 m",,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
920041,910041,3,1,1,Which natural process originally formed Dokdo?,"[""Deposition of river sand"", ""Coral growth"", ""Underwater volcanic activity"", ""Glacial deposition""]",3,Erupted volcanic material accumulated to form the Dokdo volcanic structure.,"[""River deposits form other landforms, but Dokdo’s origin is volcanic."", ""Unlike a coral island, Dokdo is volcanic."", ""Erupted volcanic material accumulated to form the Dokdo volcanic structure."", ""Dokdo is not described as an island built by glacial deposits.""]",Dokdo formed from material erupted by underwater volcanic activity.,,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
920042,910042,3,2,1,Where did the volcanic activity that formed Dokdo begin?,"[""At a river mouth on land"", ""Under the sea"", ""On a sandy beach""]",2,The structure grew underwater before part emerged above the surface.,"[""Dokdo began beneath the East Sea, not at a river mouth."", ""The structure grew underwater before part emerged above the surface."", ""Its origin was submarine volcanism, not construction on an existing beach.""]",Dokdo formed from material erupted by underwater volcanic activity.,,,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
920043,910043,3,3,3,Which sequence describes Dokdo’s formation?,"[""Emergence → submarine eruption → accumulation"", ""Accumulation → emergence → first submarine eruption"", ""Submarine eruption → accumulation → emergence""]",3,Erupted material accumulated and built a structure that eventually emerged.,"[""The account does not place emergence before the initial submarine activity."", ""Eruption supplies the material that accumulates."", ""Erupted material accumulated and built a structure that eventually emerged.""]",Dokdo formed from material erupted by underwater volcanic activity.,"Volcanic material erupted underwater, accumulated into a growing structure, and eventually emerged above the sea.",,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
920044,910044,3,4,3,Which account combines Dokdo’s volcanic origin with later wave erosion?,"[""Volcanism built the island; later waves eroded its coast"", ""Waves caused the original volcanic eruptions"", ""The coast stopped changing after volcanic formation""]",1,"Formation and later reshaping are different processes, both relevant to Dokdo.","[""Formation and later reshaping are different processes, both relevant to Dokdo."", ""Waves reshape the coast; the account does not identify them as causing eruptions."", ""The account describes erosion after emergence.""]",Dokdo formed from material erupted by underwater volcanic activity.,"Dokdo originated through submarine volcanism. Erosion became dominant after emergence, leaving only part of the originally exposed structure.",,,https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
920045,910045,3,1,1,Where did Dokdo grow before emerging above the water?,"[""On Ulleungdo’s land"", ""Beneath the East Sea"", ""At a river mouth on the Korean Peninsula""]",2,Dokdo is the exposed part of a structure that grew beneath the sea.,"[""Dokdo is not described here as land broken off from Ulleungdo."", ""Dokdo is the exposed part of a structure that grew beneath the sea."", ""Dokdo is a submarine volcanic island rather than a river-mouth deposit.""]","Dokdo grew underwater, emerged, and was reshaped by erosion over a long period.",,,"Formation ages are approximate research estimates, not exact calendar dates.",https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
920046,910046,3,2,2,What has eroded Dokdo’s coast since the islands formed?,"[""Coral growing over the islands"", ""Sand deposited at a river mouth"", ""Erosion by waves""]",3,"Erosion, including wave action, reshaped the exposed coastline.","[""The account does not attribute the main reshaping to coral growth."", ""The account of Dokdo differs from formation of a river delta."", ""Erosion, including wave action, reshaped the exposed coastline.""]","Dokdo grew underwater, emerged, and was reshaped by erosion over a long period.",,,"Formation ages are approximate research estimates, not exact calendar dates.",https://www.dokdo.re.kr/home/cms/cmsCont.do?cntnts_sn=66
